NEDC CYCLE ,
Time(sec),Velocity(mps)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1.0555564
13,2.083335
14,3.1388914
15,4.16667
16,4.16667
17,4.16667
18,4.16667
19,4.16667
20,4.16667
21,4.16667
22,4.16667
23,4.16667
24,3.333336
25,2.500002
26,1.666668
27,0.833334
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0.7500006
51,0.0833334
52,2.222224
53,2.9722246
54,3.6944474
55,4.444448
56,5.1944486
57,5.9166714
58,6.666672
59,7.4166726
60,8.1388954
61,8.888896
62,8.888896
63,8.888896
64,8.888896
65,8.888896
66,8.888896
67,8.888896
68,8.888896
69,8.888896
70,8.888896
71,8.888896
72,8.888896
73,8.888896
74,8.888896
75,8.888896
76,8.888896
77,8.888896
78,8.888896
79,8.888896
80,8.888896
81,8.888896
82,8.888896
83,8.888896
84,8.888896
85,8.888896
86,8.0833398
87,7.2777836
88,6.4722274
89,5.6666712
90,4.861115
91,4.027781
92,3.2222248
93,2.4166686
94,1.6111124
95,0.8055562
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0.5277782
119,1.0555564
120,1.6111124
121,2.1388906
122,2.6666688
123,3.194447
124,3.750003
125,4.2777812
126,4.8055594
127,5.3333376
128,5.8888936
129,6.5000052
130,6.94445
131,7.4722282
132,8.0000064
133,8.5555624
134,9.0833406
135,9.6111188
136,10.138897
137,10.694453
138,11.2222312
139,11.7500094
140,12.2777876
141,12.8333436
142,13.3611218
143,13.8889
144,13.8889
145,13.8889
146,13.8889
147,13.8889
148,13.8889
149,13.8889
150,13.8889
151,13.8889
152,13.8889
153,13.8889
154,13.8889
155,13.8889
156,13.3611218
157,12.8333436
158,12.3333432
159,11.805565
160,11.2777868
161,10.2500082
162,10.2500082
163,9.72223
164,9.72223
165,9.72223
166,9.72223
167,9.72223
168,9.72223
169,9.72223
170,9.72223
171,9.72223
172,9.72223
173,9.72223
174,9.72223
175,9.72223
176,9.72223
177,8.9166738
178,8.1111176
179,7.2777836
180,6.4722274
181,5.6666712
182,4.861115
183,4.0555588
184,3.2500026
185,2.4166686
186,1.6111124
187,0.8055562
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,1.0555564
209,2.083335
210,3.1388914
211,4.16667
212,4.16667
213,4.16667
214,4.16667
215,4.16667
216,4.16667
217,4.16667
218,4.16667
219,4.16667
220,3.333336
221,2.500002
222,1.666668
223,0.833334
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0.7500006
247,0.0833334
248,2.222224
249,2.9722246
250,3.6944474
251,4.444448
252,5.1944486
253,5.9166714
254,6.666672
255,7.4166726
256,8.1388954
257,8.888896
258,8.888896
259,8.888896
260,8.888896
261,8.888896
262,8.888896
263,8.888896
264,8.888896
265,8.888896
266,8.888896
267,8.888896
268,8.888896
269,8.888896
270,8.888896
271,8.888896
272,8.888896
273,8.888896
274,8.888896
275,8.888896
276,8.888896
277,8.888896
278,8.888896
279,8.888896
280,8.888896
281,8.888896
282,8.0833398
283,7.2777836
284,6.4722274
285,5.6666712
286,4.861115
287,4.027781
288,3.2222248
289,2.4166686
290,1.6111124
291,0.8055562
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0.5277782
315,1.0555564
316,1.6111124
317,2.1388906
318,2.6666688
319,3.194447
320,3.750003
321,4.2777812
322,4.8055594
323,5.3333376
324,5.8888936
325,6.5000052
326,6.94445
327,7.4722282
328,8.0000064
329,8.5555624
330,9.0833406
331,9.6111188
332,10.138897
333,10.694453
334,11.2222312
335,11.7500094
336,12.2777876
337,12.8333436
338,13.3611218
339,13.8889
340,13.8889
341,13.8889
342,13.8889
343,13.8889
344,13.8889
345,13.8889
346,13.8889
347,13.8889
348,13.8889
349,13.8889
350,13.8889
351,13.8889
352,13.3611218
353,12.8333436
354,12.3333432
355,11.805565
356,11.2777868
357,10.2500082
358,10.2500082
359,9.72223
360,9.72223
361,9.72223
362,9.72223
363,9.72223
364,9.72223
365,9.72223
366,9.72223
367,9.72223
368,9.72223
369,9.72223
370,9.72223
371,9.72223
372,9.72223
373,8.9166738
374,8.1111176
375,7.2777836
376,6.4722274
377,5.6666712
378,4.861115
379,4.0555588
380,3.2500026
381,2.4166686
382,1.6111124
383,0.8055562
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0.7500006
443,0.0833334
444,2.222224
445,2.9722246
446,3.6944474
447,4.444448
448,5.1944486
449,5.9166714
450,6.666672
451,7.4166726
452,8.1388954
453,8.888896
454,8.888896
455,8.888896
456,8.888896
457,8.888896
458,8.888896
459,8.888896
460,8.888896
461,8.888896
462,8.888896
463,8.888896
464,8.888896
465,8.888896
466,8.888896
467,8.888896
468,8.888896
469,8.888896
470,8.888896
471,8.888896
472,8.888896
473,8.888896
474,8.888896
475,8.888896
476,8.888896
477,8.888896
478,8.0833398
479,7.2777836
480,6.4722274
481,5.6666712
482,4.861115
483,4.027781
484,3.2222248
485,2.4166686
486,1.6111124
487,0.8055562
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0.5277782
511,1.0555564
512,1.6111124
513,2.1388906
514,2.6666688
515,3.194447
516,3.750003
517,4.2777812
518,4.8055594
519,5.3333376
520,5.8888936
521,6.5000052
522,6.94445
523,7.4722282
524,8.0000064
525,8.5555624
526,9.0833406
527,9.6111188
528,10.138897
529,10.694453
530,11.2222312
531,11.7500094
532,12.2777876
533,12.8333436
534,13.3611218
535,13.8889
536,13.8889
537,13.8889
538,13.8889
539,13.8889
540,13.8889
541,13.8889
542,13.8889
543,13.8889
544,13.8889
545,13.8889
546,13.8889
547,13.8889
548,13.3611218
549,12.8333436
550,12.3333432
551,11.805565
552,11.2777868
553,10.2500082
554,10.2500082
555,9.72223
556,9.72223
557,9.72223
558,9.72223
559,9.72223
560,9.72223
561,9.72223
562,9.72223
563,9.72223
564,9.72223
565,9.72223
566,9.72223
567,9.72223
568,9.72223
569,8.9166738
570,8.1111176
571,7.2777836
572,6.4722274
573,5.6666712
574,4.861115
575,4.0555588
576,3.2500026
577,2.4166686
578,1.6111124
579,0.8055562
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,1.0555564
601,2.083335
602,3.1388914
603,4.16667
604,4.16667
605,4.16667
606,4.16667
607,4.16667
608,4.16667
609,4.16667
610,4.16667
611,4.16667
612,3.333336
613,2.500002
614,1.666668
615,0.833334
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0.7500006
639,0.0833334
640,2.222224
641,2.9722246
642,3.6944474
643,4.444448
644,5.1944486
645,5.9166714
646,6.666672
647,7.4166726
648,8.1388954
649,8.888896
650,8.888896
651,8.888896
652,8.888896
653,8.888896
654,8.888896
655,8.888896
656,8.888896
657,8.888896
658,8.888896
659,8.888896
660,8.888896
661,8.888896
662,8.888896
663,8.888896
664,8.888896
665,8.888896
666,8.888896
667,8.888896
668,8.888896
669,8.888896
670,8.888896
671,8.888896
672,8.888896
673,8.888896
674,8.0833398
675,7.2777836
676,6.4722274
677,5.6666712
678,4.861115
679,4.027781
680,3.2222248
681,2.4166686
682,1.6111124
683,0.8055562
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0.5277782
707,1.0555564
708,1.6111124
709,2.1388906
710,2.6666688
711,3.194447
712,3.750003
713,4.2777812
714,4.8055594
715,5.3333376
716,5.8888936
717,6.5000052
718,6.94445
719,7.4722282
720,8.0000064
721,8.5555624
722,9.0833406
723,9.6111188
724,10.138897
725,10.694453
726,11.2222312
727,11.7500094
728,12.2777876
729,12.8333436
730,13.3611218
731,13.8889
732,13.8889
733,13.8889
734,13.8889
735,13.8889
736,13.8889
737,13.8889
738,13.8889
739,13.8889
740,13.8889
741,13.8889
742,13.8889
743,13.8889
744,13.3611218
745,12.8333436
746,12.3333432
747,11.805565
748,11.2777868
749,10.2500082
750,10.2500082
751,9.72223
752,9.72223
753,9.72223
754,9.72223
755,9.72223
756,9.72223
757,9.72223
758,9.72223
759,9.72223
760,9.72223
761,9.72223
762,9.72223
763,9.72223
764,9.72223
765,8.9166738
766,8.1111176
767,7.2777836
768,6.4722274
769,5.6666712
770,4.861115
771,4.0555588
772,3.2500026
773,2.4166686
774,1.6111124
775,0.8055562
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0.833334
806,1.666668
807,2.500002
808,3.333336
809,4.16667
810,4.16667
811,4.16667
812,4.7777816
813,5.3888932
814,6.0277826
815,6.6388942
816,7.2500058
817,7.8611174
818,8.5000068
819,9.1111184
820,9.72223
821,9.72223
822,9.72223
823,10.2500082
824,10.7777864
825,11.2777868
826,11.805565
827,12.3333432
828,12.8611214
829,13.3611218
830,13.8889
831,13.8889
832,13.8889
833,14.305567
834,14.7500118
835,15.1666788
836,15.6111236
837,16.0277906
838,16.4444576
839,16.8889024
840,17.3055694
841,17.7222364
842,18.1666812
843,18.5833482
844,19.027793
845,19.44446
846,19.44446
847,19.44446
848,19.44446
849,19.44446
850,19.44446
851,19.44446
852,19.44446
853,19.44446
854,19.44446
855,19.44446
856,19.44446
857,19.44446
858,19.44446
859,19.44446
860,19.44446
861,19.44446
862,19.44446
863,19.44446
864,19.44446
865,19.44446
866,19.44446
867,19.44446
868,19.44446
869,19.44446
870,19.44446
871,19.44446
872,19.44446
873,19.44446
874,19.44446
875,19.44446
876,19.44446
877,19.44446
878,19.44446
879,19.44446
880,19.44446
881,19.44446
882,19.44446
883,19.44446
884,19.44446
885,19.44446
886,19.44446
887,19.44446
888,19.44446
889,19.44446
890,19.44446
891,19.44446
892,19.44446
893,19.44446
894,19.44446
895,19.44446
896,18.750015
897,18.05557
898,17.361125
899,16.66668
900,15.972235
901,15.27779
902,14.583345
903,13.8889
904,13.8889
905,13.8889
906,13.8889
907,13.8889
908,13.8889
909,13.8889
910,13.8889
911,13.8889
912,13.8889
913,13.8889
914,13.8889
915,13.8889
916,13.8889
917,13.8889
918,13.8889
919,13.8889
920,13.8889
921,13.8889
922,13.8889
923,13.8889
924,13.8889
925,13.8889
926,13.8889
927,13.8889
928,13.8889
929,13.8889
930,13.8889
931,13.8889
932,13.8889
933,13.8889
934,13.8889
935,13.8889
936,13.8889
937,13.8889
938,13.8889
939,13.8889
940,13.8889
941,13.8889
942,13.8889
943,13.8889
944,13.8889
945,13.8889
946,13.8889
947,13.8889
948,13.8889
949,13.8889
950,13.8889
951,13.8889
952,13.8889
953,13.8889
954,13.8889
955,13.8889
956,13.8889
957,13.8889
958,13.8889
959,13.8889
960,13.8889
961,13.8889
962,13.8889
963,13.8889
964,13.8889
965,13.8889
966,13.8889
967,13.8889
968,13.8889
969,13.8889
970,13.8889
971,13.8889
972,13.8889
973,14.305567
974,14.7500118
975,15.1666788
976,15.6111236
977,16.0277906
978,16.4444576
979,16.8889024
980,17.3055694
981,17.7222364
982,18.1666812
983,18.5833482
984,19.027793
985,19.44446
986,19.44446
987,19.44446
988,19.44446
989,19.44446
990,19.44446
991,19.44446
992,19.44446
993,19.44446
994,19.44446
995,19.44446
996,19.44446
997,19.44446
998,19.44446
999,19.44446
1000,19.44446
1001,19.44446
1002,19.44446
1003,19.44446
1004,19.44446
1005,19.44446
1006,19.44446
1007,19.44446
1008,19.44446
1009,19.44446
1010,19.44446
1011,19.44446
1012,19.44446
1013,19.44446
1014,19.44446
1015,19.44446
1016,19.44446
1017,19.44446
1018,19.44446
1019,19.44446
1020,19.44446
1021,19.44446
1022,19.44446
1023,19.44446
1024,19.44446
1025,19.44446
1026,19.44446
1027,19.44446
1028,19.44446
1029,19.44446
1030,19.44446
1031,19.44446
1032,19.44446
1033,19.44446
1034,19.44446
1035,19.44446
1036,19.6944602
1037,19.9166826
1038,20.1666828
1039,20.3889052
1040,20.6389054
1041,20.8611278
1042,21.111128
1043,21.3611282
1044,21.5833506
1045,21.8333508
1046,22.0555732
1047,22.3055734
1048,22.5277958
1049,22.777796
1050,23.0277962
1051,23.2500186
1052,23.5000188
1053,23.7222412
1054,23.9722414
1055,24.1944638
1056,24.444464
1057,24.6944642
1058,24.9166866
1059,25.1666868
1060,25.3889092
1061,25.6389094
1062,25.8611318
1063,26.111132
1064,26.3611322
1065,26.5833546
1066,26.8333548
1067,27.0555772
1068,27.3055774
1069,27.5277998
1070,27.7778
1071,27.7778
1072,27.7778
1073,27.7778
1074,27.7778
1075,27.7778
1076,27.7778
1077,27.7778
1078,27.7778
1079,27.7778
1080,27.7778
1081,27.7778
1082,27.7778
1083,27.7778
1084,27.7778
1085,27.7778
1086,27.7778
1087,27.7778
1088,27.7778
1089,27.7778
1090,27.7778
1091,27.7778
1092,27.7778
1093,27.7778
1094,27.7778
1095,27.7778
1096,27.7778
1097,27.7778
1098,27.7778
1099,27.7778
1100,27.7778
1101,28.055578
1102,28.333356
1103,28.611134
1104,28.888912
1105,29.16669
1106,29.444468
1107,29.722246
1108,30.000024
1109,30.277802
1110,30.55558
1111,30.833358
1112,31.111136
1113,31.388914
1114,31.666692
1115,31.94447
1116,32.222248
1117,32.500026
1118,32.777804
1119,33.055582
1120,33.33336
1121,33.33336
1122,33.33336
1123,33.33336
1124,33.33336
1125,33.33336
1126,33.33336
1127,33.33336
1128,33.33336
1129,33.33336
1130,33.33336
1131,32.5278038
1132,31.94447
1133,31.111136
1134,30.55558
1135,29.722246
1136,29.16669
1137,28.333356
1138,27.7778
1139,27.083355
1140,26.38891
1141,25.694465
1142,25.00002
1143,24.305575
1144,23.61113
1145,22.916685
1146,22.22224
1147,21.1944614
1148,20.138905
1149,19.1111264
1150,18.05557
1151,17.0277914
1152,15.972235
1153,14.9444564
1154,13.8889
1155,12.50001
1156,11.11112
1157,9.72223
1158,8.33334
1159,6.94445
1160,5.55556
1161,4.16667
1162,2.77778
1163,1.38889
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
